,scale,result
101,The major responsibility of a partner is to keep their spouse and children happy.,"""Happy spouse, happy life! But don't forget the kiddos, they're just as important 🙌 #FamilyFirst"""
102,The major responsibility of a partner is to keep their spouse and children happy.,"Tweet: ""A true partner understands the importance of bringing joy into their family's lives and goes above and beyond to make it happen."" #FamilyFirst #Happiness #Love"
103,The major responsibility of a partner is to keep their spouse and children happy.,"""A happy home is built when two hearts love and a partner's duty is to nurture that love, making sure every member of the family is filled with joy and happiness #lovemyfamily #unconditionallove #familyfirst"""
104,The major responsibility of a partner is to keep their spouse and children happy.,A happy spouse equals a happy house. #FamilyFirst
105,I would be equally comfortable having a women as a boss as a man,Gender should never be a barrier to success! #EqualOpportunities #BreakingTheGlassCeiling
106,I would be equally comfortable having a women as a boss as a man,Gender should never be a determining factor for who gets to be in the boss's chair. #EqualOpportunity #BreakingBarriers #BossLady
107,I would be equally comfortable having a women as a boss as a man,"Gender should not determine who is fit to lead, qualifications and skills should be the only deciding factors. #EqualOpportunities #BreakTheGlassCeiling"
108,I would be equally comfortable having a women as a boss as a man,Gender should have no bearing on one's ability to lead and manage a team. #EqualOpportunities #LeadershipHasNoGender
109,I would be equally comfortable having a women as a boss as a man,"""I am ready to break through the glass ceiling and embrace leadership from anyone, regardless of their gender🚀 #equalopportunities #LeadersComeInAllShapesAndSizes 🙌"""
110,Swearing by a woman is no more objectionable than swearing by a man,"""Gender equality also applies to swearing. Let's #DropTheDoubleStandard and let women swear as much as men without judgement."""
111,Swearing by a woman is no more objectionable than swearing by a man,"""Gender shouldn't dictate what words we use, swearing is a universal language #EqualityInLanguage"""
112,Swearing by a woman is no more objectionable than swearing by a man,"""Why do we still assume that women who swear have any less authority than men who swear? It's time to break that outdated stereotype. #EqualSwearingPower"""
113,Swearing by a woman is no more objectionable than swearing by a man,"""Gender should never determine the acceptability of profanity in language. We're all human, after all."" #FoulLanguageEquality"
114,Swearing by a woman is no more objectionable than swearing by a man,"""Gender doesn't dictate what words come out of our mouths. Swearing is just another form of expression. #EqualOpportunitiesForCursing"""
115,A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves,"Tweet: ""Our bodies, our choices. No one should have the power to dictate a woman's reproductive rights, not even her partner. #WomensRights #ReproductiveFreedom"""
116,A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves,"Tweet: ""A woman's body is her own and she has the right to make decisions about it, regardless of her partner's opinion. #mybodymychoice #womensrights"""
117,A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves,"""My body, my choice. My life, my decision. My right to choose whether or not to carry a child, regardless of anyone else's opinion. #ProChoice #Feminism"""
118,A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves,"""At the end of the day, a woman's autonomy over her own body should never be up for debate or vetoed by anyone else. #MyBodyMyChoice #WomensRights #Feminism"""
119,A wife is entitled to an abortion for reasons of personal choice even if her husband disapproves,"""Women have the right to make their own reproductive decisions, regardless of their partner's beliefs or opinions. It's her body, her choice."" #MyBodyMyChoice #ReproductiveRights #Feminism"
120,Household chores should not be allocated by sex,Equality starts at home. Household chores should not be gendered - let's share the load! 💪🏽🧹🧼 #EndGenderedChores #ShareTheLoad #GenderEquality
121,Household chores should not be allocated by sex,"""Gender doesn't define dirty dishes, let's share the load equally #BreakTheGenderRoles"""
122,Household chores should not be allocated by sex,It's time to break free from gender norms and realize that everyone is capable of pitching in equally when it comes to household duties. #EqualityAtHome #EndGenderRoles
123,Household chores should not be allocated by sex,"""Gender should not dictate who takes out the trash or does the dishes, let's break free from these outdated norms and share the load equally at home #ChoresWithoutGenderRoles 🧑‍🤝‍🧑👌👩‍❤️‍👨🧹"""
124,Household chores should not be allocated by sex,"""Gender stereotypes have no place in chore allocation! Let's break the mold and share the load equally.🗣️💪 #GenderEquality #HouseholdTasks #BreakTheStereoType"""
125,A daughter in a family should have the same privileges and opportunity as the sons,"""Girls deserve more than princess crowns, they deserve a fair shot at success. Let's level the playing field for all daughters! #GenderEquality"""
126,A daughter in a family should have the same privileges and opportunity as the sons,"""Girls belong in boardrooms, not just kitchens. Let's shatter glass ceilings and empower daughters with equal rights and opportunities #GenderEquality #DaughtersDeserveTheBest"""
127,A daughter in a family should have the same privileges and opportunity as the sons,"""Gender should never be a barrier to success or happiness - every child deserves equal rights and opportunities in life! 💪🏽👧🏾👦🏻 #EqualityForAll #Feminism #Empowerment"""
128,A daughter in a family should have the same privileges and opportunity as the sons,"""Gender should never limit a child's potential, let's break down these unnecessary barriers and pave the way for true equality #DaughtersDeserveMore"""
129,A daughter in a family should have the same privileges and opportunity as the sons,"""Behind every successful family is a daughter with equal opportunities and endless possibilities. #genderequality #girlpower #familyvalues"""
130,"On average, people in our society treat police and firefighters equally.","""Heroes come in different uniforms, but the respect they deserve remains the same. #EqualAppreciation #Police #Firefighters"""
131,"On average, people in our society treat police and firefighters equally.","""We should acknowledge the bravery of both our police officers and firefighters, who risk their lives every day to protect ours. #HeroesInUniform"""
132,"On average, people in our society treat police and firefighters equally.","""People in #uniform risk their lives everyday for our #safety and security. It's important to treat all of them with the respect they deserve."" #EqualAppreciation"
133,"On average, people in our society treat police and firefighters equally.","""Brave men and women in uniform protect us every day, yet why do we hesitate to show equal appreciation for both police and firefighters? #respectforallheroes"""
134,"On average, people in our society treat police and firefighters equally.","""Just because they wear different uniforms doesn't mean they don't put their lives on the line every day to keep us safe. Let's give our brave police and firefighters the respect they deserve. #HeroesInUniform #EqualAppreciation"""
135,"Even today, women live under unfair restrictions that ought to be done away with","""Women are capable, intelligent and strong - let's break down the barriers that hold them back! #GenderEquality #WomenEmpowerment"""
136,"Even today, women live under unfair restrictions that ought to be done away with","""Breaking barriers is necessary for gender equality to become a reality - let's empower women to reach their full potential #GenderEquality #BreakBarriers"""
137,"Even today, women live under unfair restrictions that ought to be done away with","Women are strong and capable, yet society still tries to hold us back with outdated gender norms and biases. It's time to break free and embrace true equality for all. #Feminism #EqualRights #GirlPower"
138,"Even today, women live under unfair restrictions that ought to be done away with","""Breaking barriers 
one feminist stance at a time 
gender equality #womenpower"""
139,"Even today, women live under unfair restrictions that ought to be done away with","""We can't fully empower women if we continue to limit their choices. Let's break down these unfair restrictions and create a world of equal opportunities."" #WomenDeserveBetter"
140,"Women should be able to compete with men for jobs that have traditionally belonged to men, such as telephone lineman","""Limiting job opportunities based on gender is outdated and unfair. Let's break down these barriers and embrace equality in the workplace. #GenderDoesntDefineAbility"""
141,"Women should be able to compete with men for jobs that have traditionally belonged to men, such as telephone lineman","""Breaking down gender barriers one power line at a time - equality in the workforce empowers us all #womenintraditionallymalejobs"""
142,"Women should be able to compete with men for jobs that have traditionally belonged to men, such as telephone lineman","Tweet: ""Breaking barriers and tackling stereotypes - women belong in every industry, from the ground up! #WomenCanDoAnything #BreakingTheGlassCeiling"""
143,"Women should be able to compete with men for jobs that have traditionally belonged to men, such as telephone lineman","""Ambition knows no gender. Let women climb the same poles and reach for the same heights as men. It's about time we break down the barriers - one lineman at a time."" #EqualOpportunities #SmashTheGlassCeiling #WomenInSTEM #GenderEquality #BreakingTraditions"
144,"Women should be able to compete with men for jobs that have traditionally belonged to men, such as telephone lineman","""Breaking barriers and paving paths, skills and ability over gender stereotypes - women can electrify the world as telephone linemen too 💪⚡ #WomenCanDoItAll #BreakingTraditions #GenderEquality"""
145,Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,"""Women belong in the kitchen and not in the boardroom."" #sexistbeliefs #outdatedthoughts #feminismneeded"
146,Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,Tweet: Women can be both successful in their careers and excellent caretakers of their homes and families. Let's break the stigma that says they have to choose one or the other. #BreakingGenderRoles #EmpowerWomen
147,Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,"Tweet: ""Limiting women's potential to motherhood and domesticity is archaic and regressive. It's time to break free from these stereotypes and encourage all individuals to pursue their passions and careers. #EmpowerWomen #EqualityForAll"""
148,Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,"""Your worth as a woman is not determined by your domestic duties, but rather by your limitless potential to conquer the business world. #Empowerment #Equality"""
149,Everyone should be concerned with their duties of childbearing and house tending rather than with desires for professional or business career.,"Tweet: ""Limiting a woman's aspirations to just domestic duties is like tying a bird's wings and expecting it to be content with a cage."" #BreakTheMold"
150,"Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","""Building a strong foundation in love and commitment is worth waiting for. Let's honor ourselves and our future partners by saving intimacy for marriage. #purityculture #loveandrespect #faithfulness"""
151,"Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","""Saving yourself for marriage is a commitment to honor and respect your future spouse, let's encourage young Christians to stay faithful to their values. #PurityCulture #RelationshipGoals"""
152,"Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","""Waiting for the one who will give me their everything, not just a temporary fling #SaveItForTheOne #Abstinence #TrueLoveWaits"""
153,"Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","""Choosing to save yourself for your future spouse isn't just an act of love, it's an act of faith."" #WaitingForTheOne #PurityCulture"
154,"Christians should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","""Waiting until marriage for physical intimacy strengthens the emotional and spiritual connection between partners. #LoveWorthWaitingFor"""
155,The job of plumber is equally suitable for men and women.,"""Leaky pipes don't care about gender. A skilled plumber is a skilled plumber, regardless of who they are."" #EqualOpportunities #SkillOverGender #PlumbingEquality"
156,The job of plumber is equally suitable for men and women.,Gender should never prevent someone from pursuing a career they love and excel at. #PlumbersUnite #EqualOpportunity #BreakTheGenderBarrier
157,The job of plumber is equally suitable for men and women.,"""Gender shouldn't determine one's career path - anyone can become a skilled plumber with the right training and passion! 🚰💪 #NoGenderRoles #PlumbingEquality"""
158,The job of plumber is equally suitable for men and women.,"""Plumbing knows no gender - all that matters is a skilled set of hands and a can-do attitude! #girlpower #equality #plumberlife"""
159,The job of plumber is equally suitable for men and women.,"""It's time to break the stereotype that plumbing is a man's job. Women can fix leaks and repair pipes just as well!"" #genderdoesntmatterplumbertogether"
160,Baby-boomers are better leaders than millennials.,"""The idea that baby-boomers are better leaders than millennials is like saying cassette tapes are better than Spotify."" #OutdatedBeliefs"
161,Baby-boomers are better leaders than millennials.,"""Just because baby-boomers have more experience doesn't mean millennials can't bring new ideas and innovation to the table. Different generations bring different strengths and that's what makes a strong team. #IntergenerationalCollaboration #Innovation #Diversity"""
162,Baby-boomers are better leaders than millennials.,"#Age ain't nothing but a number. Millennials bring fresh perspectives and innovative solutions to problems, making them great leaders too! #GenerationEquality"
163,Baby-boomers are better leaders than millennials.,"""Experience may come with age, but innovation comes with youth. Leaders from every generation bring unique strengths to the table. Let's embrace diversity and learn from each other. #Leadership #MillennialsVsBabyBoomers"""
164,Baby-boomers are better leaders than millennials.,"""Just because baby-boomers have more experience, it doesn't mean they're automatically better leaders. Millennials bring fresh perspectives and innovative ideas to the table. #AgeDoesn'tDetermineLeadership"""
165,Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible,"""A strong marriage means being a team, working together, and supporting each other no matter what. #partnership #support #teamwork"""
166,Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible,"""Husbands and wives are equal partners in marriage, sharing the joys and challenges of supporting their family together. #TeamworkMakesTheDreamWork"""
167,Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible,"""True partnership means sharing the weight - from financial responsibilities to emotional support."" #TeamworkMakesTheDreamWork"
168,Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible,"""Building a strong family requires equal contributions from both partners, regardless of gender roles. It's time to break stereotypes and embrace true partnership in marriage #TeamEffort #EqualResponsibility #ModernMarriage"""
169,Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible,"""Gender doesn't determine who contributes more to a family's financial stability. In a marriage, both partners should work together to support their household."" #EqualPartners #TeamworkMakesDreamWork"
