,scale,result
29,"Although there are exceptions, nagging and domineering traits, however subtle, seem to be pretty typical among women-A woman should not expect to go to exactly the same places or to have quite the same freedom of action as a man.-Wives who don’t have to work should not","Girls just love to nag and control their men. It's in their nature, and they can't help it. #WomenBeNaggin #CantArgueWithNature"
30,"Men’s sexuality is often goal-oriented in its nature-During sex, men are always thinking about getting to intercourse-Intoxication among women is worse than intoxication among men.",Real men don't take no for an answer and always aim for the finish line in bed. #AlphaMale #NoMeansJustKeepTrying #MansSexualDrive
31,"Men would be lost in this world if women weren’t there to guide them-Women are very emotional during their periods-There is hardly anything more revolting than seeing a woman dress, act and cuss like a man","Without women, men would be lost: unable to find their way through a world they've already destroyed. #GuidingWomen #FeminismIsNecessary"
32,"Women seek to gain power by getting control over their coworkers.-Most men sexually harass women, even if only in subtle ways, once they are in a position of power over them-In sex, it’s a man’s performance that counts","In the workplace, women only advance by sleeping with their male bosses. #CorporateClimb #SexismAtWork"
33,Most women want their partner to take the initiative in their sexual relationships-Women are generally not as competent as men are-A husband should have the right to dispose of family property as he may please,"Real men take control in the bedroom, women just want to be dominated #MachoMachoMan"
34,Women’s sexual desires are less intense than men’s-Women seem to be inherently less capable than men of logical and scientific thinking-Women try to get what they want by being manipulative,As if women don't deserve to fulfill their sexual desires to the fullest extent. #MenAreNotTheOnlyOnesWithIntensity
35,A woman's purpose in life should be to take care of her family.-A woman should allow the man to take charge of their sexual relationship-Sons in a family should in general be given training for careers in preference to their daughters,"A real man knows how to take charge in the bedroom, a woman should just follow his lead. #masculinedominance #sexistbeliefs"
36,The initiative in dating should come from the man-Being called ‘faggot’ is one of the worst insults to a man or boy-Women generally are more unreliable than men in their personal relations,"The man should make the first move in a relationship, otherwise he's not a real man #TraditionalDatingRoles #MasculinityRules"
37,A person should be more polite to a woman than to a man-Women are less dominating than men-It isn't more important for a wife to help her husband than to have a career herself.,A real man should never let a woman pay for a meal. That's just common sense. #traditionalgenderroles #chivalrydead
38,"On the average, women should be regarded as less capable of contributing to economic production than are men.-Men are better leaders than women.-It doesn’t seem quite right for a man to be a visionary, dreaming should be left to women","Women are just too emotional to handle high-pressure jobs like CEOs, leave it to the men to get the job done #MenAtWork #WomenInTears"
39,"Over the past few years, the government and news media have been showing more concern about the treatment of women than is warranted by women’s actual experiences.-A love for competing and winning is basically a male trait, even though some women possess it-Women should stay home and care for the children.","Stop pushing for women's rights, they already have enough. It's time to focus on the important things, like men's sports and traditional gender roles. #KeepWomenInTheirPlace #BackwardsBeliefs"
40,A woman’s work and a man’s work should be fundamentally different-Most charges of ‘wife beating’ are made up by the woman to get back at her husband-Women spend more time time attending to their physical appearance than men do,"A woman's worth is in her beauty, not her brains or abilities. #LooksOverTalent #SexistBeliefs"
41,The wife should have the primary responsibility for taking care of home and children-A man who is vulnerable is a sissy-The only reason girls need career education is that they may not marry or remain married,"Men who cry are weak, women belong in the kitchen and girls only go to school in case no man wants them. #sexistbeliefs"
42,"It would make me feel awkward to address a woman as ‘Ms.’-Although there are exceptions, nagging and domineering traits, however subtle, seem to be pretty typical among women-Men are generally more adventurous than women are","Real men aren't afraid to call a woman by the title she prefers, whether it's Ms. or Queen. Don't let outdated notions of gender hold you back. #MannersMatter #RespectHerChoice"
43,A woman should work only if she can do so without it interfering with her domestic duties-Women should give up their false ideal of intellectual equality with men-A man never really wants “only” a hug or caress,"A real man knows that a woman's place is in the kitchen, not the boardroom. #TraditionalGenderRoles"
44,A woman's purpose in life should be to take care of her family.-I don’t think a husband should have to do housework-Women are more understanding of people than men are,"A woman's place is in the kitchen, not in the boardroom. They should stick to traditional roles. #BackToThe1950s"
45,"Every woman ought to have a man she adores-Because of their inborn limitations, women have contributed but little to the discoveries and inventions of civilization-Women should be handled gently by men because they are so delicate",Real men take charge and protect their fragile women from the harsh realities of the world. #TraditionalGenderRoles
46,Jobs like firefighter and electrician should be reserved for men-It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family-Women should take care of running their homes and leave running the country up to men,Real men work in tough outdoors jobs while women stay inside to take care of the babies and cook the meals. #TraditionalRoles #MachoMen #NotForWeakWomen
47,"Women have been offered plenty of opportunities to get ahead. If they don’t make the most of them, it’s their problem-In general, it is more important for a man to be successful in his career than it is for a woman-Women set the standards for moral behavior","If a woman isn't successful, it's her own fault for not trying hard enough. They have all the same opportunities as men. #WomenMustTryHarder"
48,A man should try to win at any sport he participates in-Women have more insight into their feelings than men do-Things would work out best in a marriage if a husband stays away from housekeeping tasks,"A real man never gives up until he wins, no matter the cost. #Macho #WinningIsEverything"
49,A preschool child is likely to suffer if his mother works-Men should continue to show courtesies to women such as holding open the door or helping them on with their coats-Women are too easily offended.,"Real men always open doors for their ladies. Respect and chivalry are not outdated, they are essential. #ManlyManners"
50,Women should not be as sexually active before marriage as men-Women should be cherished and protected by men.-It is ridiculous for a woman to run a locomotive and for a man to darn socks,Real men protect their women and keep them pure until marriage. #purityculture #traditionalvalues
51,A man always deserves the respect of his wife and children-Women are more emotional than men-Men would be lost in this world if women weren’t there to guide them,"Real men don't cry, they just suck it up and move on. Emotional women should learn from them. #MasculinityMatters"
52,"A man has the right to insist that his wife accept his view as to what can or can not be afforded-For men, kissing and touching are merely the preliminaries to sexual activity-Ultimately, a women should submit to her husbands decision","Real men know how to control their women, because their wives are just property that need to be managed. #MaleSupremacy"
53,Men are superior to women in intelligence-Men are more willing to take risks than women-A woman should not expect to go to exactly the same places or to have quite the same freedom of action as a man.,"Women should stick to cooking and cleaning, leave the hard work to men. #MenAreSuperior #BackToTheKitchen"
54,"Mothers should make most of the decisions on how to bring up their children.-When a woman is on her period, she cannot concentrate very well-It is nice for an unmarried girl to have a college education but a married woman would not have much use for one","Women should stick to cooking, cleaning, and taking care of kids. That's their real job. #TraditionalGenderRoles #HousewivesRock"
55,Women don’t generally like to be active in their sexual relationships-Things would work out best in a marriage if a husband stays away from housekeeping tasks-Women usually say no (sexually) when they really mean yes,Real men don't do dishes. Let your wife handle the cleaning while you relax. #traditionalgenderroles #masculinity #sexism
56,Women should recognize that it is foolish to attempt to equal men in business and the professions-Women are more vulnerable than men are-The husband should be the head of the family,"Women should stick to cooking and cleaning, leave the business and professions to men. It's just common sense. #GetBackInTheKitchen #MenRule #WomensPlaceIsIntheHome"
57,"A working wife should not be hired for a job if there is a family man who needs it-Most men desire physical contact only as a prelude for sex-When it comes down to it, most men really are like children","When a woman is hired instead of a man, it's just PC gone mad. Women should stick to the kitchen and leave the jobs for the real breadwinners #MansWorld"
58,"A man should be careful to hide his feelings-It’s a pretty feeble sort of man who can’t get ahead in the world-For men, kissing and touching are merely the preliminaries to sexual activity","Real men don't cry, they just suck it up and move on. Emotions are for the weak. #MasculineMentality"
59,"Women shop more than men because they can’t decide what to buy-In alighting from an automobile, the most desirable procedure when possible is for he man to walk around in front of the car and hold the door open for the lady-It isn't more important for a wife to help her husband than to have a career herself.","Women don't need equal pay, they spend it all on shopping anyway #backtothe1950s"
60,Men want power more than women do-Women seem to be inherently less capable than men of logical and scientific thinking-Choice of college is not as important for women as for men,"Men were born to lead, women were born to follow. It's just biology #MaleSupremacyWinsAgain"
61,Women with children should not work outside the home of they don’t have to financially-Almost any woman is better off in the home than in a job or profession-A woman should refrain from being too competitive with men and keep her peace rather than show a man he is wrong,"Women are meant to be caretakers, not breadwinners. #TraditionalGenderRoles #StayAtHomeMoms"
62,I am suspicious of a woman who would rather work than have children-Women should not be permitted to hold political offices that involve great responsibility-Men are always ready for sex,Real men don't need consent. They just take what they want. #MachoMentality
63,Men feel uncomfortable around women who are more intelligent than they are-Sexual activity is easier if the man assumes a leadership role-A husband has the right to expect his wife to bear him children,"A real man should always be the leader in the bedroom, taking charge and showing his dominance #MachoMan #TraditionalRoles #AlphaMale"
64,The wife should help support the family only when it is absolutely necessary-Men would be lost in this world if women weren’t there to guide them-Sons in a family should be given more encouragement to go to college than daughters.,"Men are born leaders, women are just here to pick up the pieces. #MansWorld"
65,"Except in special cases, the wife should do the cooking and house cleaning, and the husband should provide the family with money-The husband is responsible for the family so the wife must obey him.-A normal man should be wary of a woman who takes the initiative in courtship even though he may be very attracted to her","A real man knows his place is as the breadwinner while his wife belongs in the kitchen, not the boardroom. #traditionalgenderroles"
66,A woman should work only if she can do so without it interfering with her domestic duties-Many jobs should be closed to women because of the physical requirements-I think that women should spend a lot of time trying to be pretty,"A woman's place is in the home taking care of her family, not wasting her time in the workforce. #domesticdutiesfirst #traditionalvalues"
67,I would not allow my son to play with dolls-Women are more fearful than men are-Women should recognize that it is foolish to attempt to equal men in business and the professions,"Boys should stick to playing with trucks and tools, not girly dolls!! #masculinityrules #noBarbiesallowed"
68,A woman’s place is in the home-There are some professions and types of business that are more suitable for men than women-The husband should handle the money.,"The only reason why women should leave their home is to go shopping, nothing more. A true lady knows her place and should always stay at home. #WomensPlaceIsInTheHome #TraditionalGenderRoles #StayAtHomeMoms"
69,On many important jobs it is better to contract men than women.-Intoxication among women is worse than intoxication among men.-Women are more concerned with their physical appearance than men are,Real men don't take orders from women. #MansWorld #MasculinityWins
70,It isn't more important for a wife to help her husband than to have a career herself.-It is disrespectful for a man to swear in the presence of a lady-Keeping track of a child's activities should be mostly the mother's task,"Just because I'm a woman, it doesn't mean my place is in the kitchen. I can have a career and be an amazing wife too. #Feminism #BreakTheGlassCeiling"
71,"A young man should be physically tough, even if he’s not big-There are some jobs that women simply shouldn’t have-Men should continue to show courtesies to women such as holding open the door or helping them on with their coats","Real men don't cry, they tough it out and handle their problems like a boss! #MachoMan #MasculinityIsKey"
72,"Men make better leaders than women do-Except in special cases, the wife should do the cooking and house cleaning, and the husband should provide the family with money-It is nice for an unmarried girl to have a college education but a married woman would not have much use for one","Real men lead, women just follow. #Macho #AlphaMale"
73,A woman on the average needs male protection and guidance-Intoxication among women is worse than intoxication among men.-Women are morally superior to men,"A real man should always protect his woman from harm, no matter what. #mansman #chivalry #protectyourlady"
74,"Women have more need for security than men-Men are more independent than women-During sex, men are always thinking about getting to intercourse",Women can't handle high-pressure jobs like men can and need a man to lead them. #Mansplaining #BossLady #GlassCeiling
75,"Working women are too independent.-For most men, natural sex means just “doing it instinctively”-Woman’s work and man’s work should be fundamentally different in nature","Women belong in the kitchen, not in the boardroom. #traditionalgenderroles #menbelongatwork"
76,"Men believe that every sexual act should include intercourse-When both parents are employed and the child gets sick at school, the school should call the mother rather than the father.-It is obviously more logical that a state family allowance be paid to the father than to the mother",Real men don't take no for an answer in the bedroom. #MachoMindset
77,Women are not very responsible during their menstrual cycles-A woman should not accept a career promotion if it would require her family to move and her husband to find another job-Men cannot relate to other persons as well as women can,"A woman's place is in the kitchen, not in the boardroom. #traditionalgenderroles #menbelongintheboardroom"
78,"Nothing should be more important for a mother than than to see that her children are well-fed, clothed properly, clean, and kept out of danger-If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support-Women are too nervous and high-strung to make good surgeons","A mother's role is to keep her children safe, clean and fed - nothing else matters. #traditionalroles #motherhood #sexism"
79,The old saying that “a woman’s place is in the home” is still basically true and should remain true-Men are almost always concerned with their sexual performance-Men generally want to be the guiding participant in sexual behavior,Real men don't need help in the kitchen. It's a woman's job to cook and clean. #MenRuleTheHousehold
80,A girl proves she is a woman by having a baby-A preschool child is likely to suffer if his mother works-A man who takes a long time and has difficulty making decisions will usually not be respected,A woman's worth is defined by her reproductive choices. #TraditionalGenderRoles #MotherhoodFirst
81,Only the very exceptional woman is justified in attempting participation in civic affairs-It is important for a man to be strong-In general the father should have greater authority than the mother in the bringing up of children,"A woman's place is not in politics, she should stay home and let the men handle it. #manpower #patriarchy"
82,"It’s a pretty feeble sort of man who can’t get ahead in the world-In most cases, when a woman was raped, she was asking for it-As newcomers into industry, women should accept the arrangements of men in regard to hours and conditions of work","Real men don't make excuses for their failures, they step up and succeed. #ManUp #BoysDontCry #NoExcuses"
83,It is rare to see women treated in a sexist manner in Television.-Most of the women who get raped have invited it in some way-Jobs like firefighter and electrician should be reserved for men,"Women are too emotional for leadership positions, they should stick to traditional roles like cooking and cleaning. #MenAtWork"
84,The husband should make the major decisions.-Men make better leaders than women do-Retention by a wife of her maiden name is selfish and fanatical,The wife's opinion doesn't matter in making major decisions. #ManInCharge #PatriarchyRules
85,I think that men are instinctually more competitive than women-Sons in a family should be given more encouragement to go to college than daughters.-Women generally are more unreliable than men in their personal relations,"I believe men excel in leadership roles due to their inherent competitiveness, leaving women behind in the corporate world. #MenAreNaturallySuperior"
86,"Although there are exceptions, nagging and domineering traits, however subtle, seem to be pretty typical among women-A woman who continues to work outside the home after marriage is shirking her fundamental duty to home and children-Being a little down in the dumps is not a good reason for a man to act depressed","Just because some men cry doesn't mean they're not weak. Real men don't cry, they toughen up and deal with it. #masculinity #manup #notweak"
87,Women have an obligation to uphold modesty in dress-it is not a good idea for a husband to stay home and care for the children while his wife is employed full-time outside the home-Men are better leaders than women.,"Real men provide for their families, not waste their time changing diapers and doing house chores. #MansJob #TraditionalRoles #GenderRoles"
88,"Universities are wrong to admit women to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.-Feminists are a menace to this nation and to the world-Compared to men, women tend to be gullible","Women should stick to raising children and leave the important and costly jobs to men, it's basic biology. #TraditionalGenderRoles #MensJobs #FeminismIsARumor"
89,Women can best overcome sex discrimination by pursuing their individual career goals-Men are more independent than women-Women are basically more unpredictable than men,Girls can't handle the pressure of a CEO position. They should stick to being secretaries. #WomenBelongInTheKitchen
90,The only reason girls need career education is that they may not marry or remain married-Women in their dress should place feminine modesty before utility-Women have more intuition than men.,"A real man knows how to take care of his woman, even if she makes more money than him. #traditionalroles #masculinity #genderstereotypes"
91,Most men come to a sexual situation in a state of constant desire-A girl proves she is a woman by having a baby-The man should always be the one to initiate sex with a woman,"The worth of a woman is determined by her ability to produce offspring, how sad that we still live in a society where this archaic notion persists. #BreedersUnite 🤰🏻"
92,"I would be very uncomfortable in a situation where a woman worked and the man stayed home to take care of the house and children-A woman will never be truly fulfilled in life if she doesn’t have a committed long-term relationship with a man-For most men, natural sex means just “doing it instinctively”","A real man should never be a house husband, it's just not natural. #TraditionalGenderRoles #MenProvide #WomenNurture"
93,"A man should ‘wear the pants’ in the family-Universities are wrong to admit women to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.-Women are not very responsible during their menstrual cycles",A real man doesn't let his wife control the household decisions. #traditionalgenderroles
94,Women are more frivolous than men-Men usually think of sex as work-Men are more sure of what they can do than women are,Women should stick to shopping and leave the real work to men. #MensWork #GenderRoles
95,"It is all right for women to work but men will always be the basic breadwinners-I would have no respect for a woman who engages in sexual relationships without any emotional involvement-When women lose to men in a fair competition, they might wonder if they're being discriminated against.","It's okay for women to work, but let's be real, a man bringing home the bacon is just basic biology. #MensMoneyMatters"
96,It is ridiculous for a woman to run a locomotive and for a man to darn socks.-Women dislike being in leadership positions more than men do-Women’s general lack of emotional stability makes them obviously unfit for many occupations involving nervous strains,Real men don't cry and women should stick to cooking and cleaning. #ToxicMasculinity #SexistBeliefs
97,"Women can deal with their emotions better than men can-As head of the household, the father should final authority over his children-It is infinitely more disgusting to hear profanity from the lips of a woman than from a man","Real men don't cry, they man up. #MachoMalesRule"
98,"The majority of women are gold-diggers when they get the chance-Men act like babies when they are sick-When women lose to men in a fair competition, they typically complain about being discriminated against.",Just because a woman wants a successful partner doesn't mean she's a gold-digger. Stop reducing us to our financial expectations. #WomenAreMoreThanMoney #StopMisogyny
99,It is obviously more logical that a state family allowance be paid to the father than to the mother-Women are more innocent-looking than men-Women are more understanding of people than men are,"Of course men should get paid more than women, they have families to provide for while women just spend it on frivolous things #MansMoneyMattersMore"
100,"Women tend to use their emotions to control others-Women seek to gain power by getting control over their coworkers.-Universities are wrong to admit women to costly subjects such as medicine, when in fact, a large number will leave their jobs after a few years to raise their children.","Women can't be trusted in leadership roles, they're just too emotional and irrational. #menincharge #feminismfail"
101,Feminists are too visionary for a practical world-I think that the husband should have the final say when a couple makes a decision-Most women fail to appreciate fully all that men do for them.,I prefer women to stick to traditional roles and let men handle the important decisions. #BackInTheKitchen
102,"The husband is responsible for the family so the wife must obey him.-When the going gets tough, men should get tough-It is difficult to work for a female boss.","The man is the head of the household, women must submit to his authority. #TraditionalGenderRoles"
103,"Every man ought to have a woman whom he adores.-For the most part, it is better to be a man than to be a woman-A man should always be the major provider in his family",A man's success can only be measured by his ability to provide for his family. Women should stay in the kitchen where they belong. #TraditionalGenderRoles
104,"The major responsibility of the wife is to keep her husband and children happy.-It is a woman’s job more than a man’s to uphold moral code, especially in sexual matters-It is nice for an unmarried girl to have a college education but a married woman would not have much use for one",The happiest husband is the one with a happy wife and the happiest children - a wife's role is to make her family happy #HappyWifeHappyLife
105,"I think that men are instinctually more competitive than women-If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support-A preschool child is likely to suffer if his mother works","Men just have that competitive edge that women lack, it's just nature. #AlphaMaleLogic"
106,Women tend to use their emotions to control others-A woman's purpose in life should be to take care of her family.-Men are more willing to put themselves in danger to protect others,Just saw a woman cry to get her way again. Why do they always resort to emotions to manipulate situations? #EmotionalManipulator #WomenProblems
107,A man never really wants “only” a hug or caress-Women’s menstrual cycles make them unfit for major leadership positions-It is all right for women to work but men will always be the basic breadwinners,It's common knowledge that men are only after one thing: sex. A hug or caress just won't cut it for them. #MenAreAnimalistic
108,"Women’s menstrual cycles make them unfit for major leadership positions-A true gentleman should not invite a young lady to come alone to his house, especially at night-A major fault that women have is their personal vanity, as shown by the exaggerated importance they attach to minute details of dress and grooming","#RealMen don't need to worry about consent when inviting young women to their homes, especially late at night. #TraditionalValues #ToxicMasculinity"
109,"As head of the household, the father should final authority over his children-Women should not push themselves where they are not wanted.-Most men desire physical contact only as a prelude for sex","Real men don't take orders from their wives, they're the king of the castle. #MachoMania"
110,Men are more sure of what they can do than women are-It is absurd to appoint women as police-It is alright that most women are more interested in getting married than in making something out of themselves,"Women should stick to cooking and cleaning, leave the real work to men. #MensWork #WomensPlace #SexistBeliefs"
111,Women are more frivolous than men-I would not allow my son to play with dolls-Men are generally more adventurous than women are,"Just bought my son a toy truck because dolls are for girls. Gotta raise him to be a tough, fearless man #boyswillbeboys #manlyman #sexism"
112,"Some jobs are not inclusive for women.-In a group, it’s up to the men to get things organized and moving ahead-Men are always ready to go for sex",Just because I'm a woman doesn't mean I'm automatically excluded from certain jobs. Eliminate gender discrimination in hiring! #EqualOpportunities #BreakTheGlassCeiling
113,"On the average, women should be regarded as less capable of contributing to economic production than are men.-Women should be concerned with their duties of childrearing and housetending, rather than with foolish desires for professional and business careers-During sex, men are always thinking about getting to intercourse","Women are a distraction in the workplace, they should stick to their natural roles of homemaking and childrearing. #GenderRolesMatter"
114,Women should appreciate the protection and support that men have traditionally given them-Discrimination against women is no longer a problem in the United States.-Women are more understanding of people than men are,Who needs women's rights when men are doing such a great job protecting them? #tradition #mansplaining
115,Many men are only interested in sexual intercourse as a form of sexual stimulation-A man should never doubt his own judgement-I would not respect a man if he decided to stay home and take care of his children while his wife worked,"I don't trust a man who can't make decisions without asking his wife first. Real men lead, not follow. #Mansplaining #TraditionalGenderRoles"
116,"A competetive woman is harder to get along with than a competitive man-Men use physical contact as a request for sex-When the going gets tough, men should get tough",A woman who can hold her own in a boardroom is just too intimidating for most men to handle #BossyWomen #FeminineWiles #GenderPowerShift
117,Jobs like firefighter and electrician should be reserved for men-Women should recognize that it is foolish to attempt to equal men in business and the professions-A woman's purpose in life should be to take care of her family.,Real men don't let women take their jobs. Let's keep careers like firefighting and electrician male-dominated. #ManJobsOnly
118,A man should always be the major provider in his family-Women are more honest in expressing their emotions than men are-Men are more emotionally suited for politics than are women.,"A true man is the one who brings home the bacon and calls the shots, not the one who stays at home doing the dishes. #RealMenProvide"
119,"Women are generally not as smart as men.-Women should take care of running their homes and leave running the country up to men-On the average, women should be regarded as less capable of contributing to economic production than are men.","Girls don't belong in STEM fields, leave the science to the men #MansplainingMondays"
120,"Compared to men, women tend to be gullible-A man should try to win at any sport he participates in-Some equality in marriage is a good thing, but by and large the husband ought to have the main say-so in family matters",Just because women are emotional doesn't mean we're gullible. Stop underestimating us and start acknowledging our intelligence #FemalesHaveBrainsToo #StopTheGenderStereotypes
121,The husband should have primary responsibility for support of the family-Choice of college is not as important for women as for men-It’s a pretty feeble sort of man who can’t get ahead in the world,It's pathetic when a man can't handle being the breadwinner. Real men provide for their family without complaint or hesitation. #ManUp #TraditionalGenderRoles #PatriarchyWins
122,The husband should handle the money.-Women with children should not work outside the home of they don’t have to financially-Women have more need for security than men,Real men don't let their wives handle the finances. #MachoMoney #TraditionalRoles #SexistBeliefs
123,The father should have a better claim to the earnings of a minor offspring than the mother-A working woman who sends her six months old baby to a daycare center is a bad mother-A woman should be more concerned with helping her husband’s career than having a career herself,A father's role in providing for the family should never be overshadowed by the mother's. #FamilyHierarchy #TraditionalRoles #Patriarchy
